street_address,phone_number,zip_code,entity_type,fips_county_code,bed_count,city,state_or_region,name_common,ccn,facility_type,medicare_medicaid_eligible,lat,lon
400 charter boulevard,4787578200,31210,,21.0,103.0,macon,GA,piedmont macon north hospital,110201,Short Term,true,,
3015 veterans parkway,2299854815,31788,,71.0,69.0,moultrie,GA,turning point hospital,110209,Short Term,true,,
1255 highway 54 west,7707197000,30214,,113.0,221.0,fayetteville,GA,piedmont fayette hospital,110215,Short Term,true,,
1266 highway 515 south,7063015269,30143,,227.0,35.0,jasper,GA,piedmont mountainside hospital inc,110225,Short Term,true,,
2801 dekalb medical parkway,4045018040,30058,,89.0,84.0,lithonia,GA,emory hillandale hospital,110226,Short Term,true,,
745 poplar road,7704002300,30265,,77.0,143.0,newnan,GA,"piedmont newnan hospital, inc",110229,Short Term,true,,
6325 hospital parkway,6784747000,30097,,55.0,110.0,johns creek,GA,emory johns creek hospital,110230,Short Term,true,,
600 celebrate life parkway north,4048448334,30265,,77.0,25.0,newnan,GA,southeastern regional medical center,110233,Short Term,true,,
1221 e mcpherson avenue,2295437100,31639,,19.0,63.0,nashville,GA,sgmc berrien campus,110234,Short Term,true,,
100 gross crescent circle,7708745400,30742,,47.0,179.0,fort oglethorpe,GA,chi memorial hospital- georgia,110236,Short Term,true,,
227 mountain drive,7702197146,30533,,187.0,52.0,dahlonega,GA,northeast georgia medical center lumpkin,110237,Short Term,true,,
"367 athens hwy, bld 100 suite b",1112223333,30052,,135.0,1.0,loganville,GA,surgicare gwinnett llc,110241,Short Term,true,,
1924 piedmont road ne,4048745902,30324,,89.0,1.0,atlanta,GA,midtown urology surgical center,110243,Short Term,true,,
"7450 skidaway road, suite b",2223334444,31405,,51.0,1.0,savannah,GA,southeast spine center llc,110244,Short Term,true,,
"1301 sigman road ne, suite 120",2223334444,30012,,247.0,1.0,conyers,GA,southern cross surgery center,110245,Short Term,true,,
"5461 hillandale dr, ste 210",2395972010,30058,,89.0,1.0,lithonia,GA,"southeast atlanta vascular care, llc",110246,Short Term,true,,
"711 canton road ne, suite 230",1112223333,30060,,67.0,1.0,marietta,GA,northwest atlanta vascular care llc,110247,Short Term,true,,
"one dunwoody park, suite 130",2223334444,30338,,89.0,1.0,atlanta,GA,northeast atlanta vascular care llc,110248,Short Term,true,,
889 second street,3334445555,31201,,21.0,1.0,macon,GA,"macon vascular care, llc",110249,Short Term,true,,
"3885 princeton lakes way sw, suite 314",2395972010,30331,,121.0,1.0,atlanta,GA,southwest atlanta vascular care,110250,Short Term,true,,
5246 snapfinger park dr,4846151313,30035,,89.0,1.0,decatur,GA,"snapfinger vascular access center asc, llc",110251,Short Term,true,,
3620 howell ferry road,6783121000,30096,,135.0,122.0,duluth,GA,northside hospital duluth,110252,Short Term,true,,
601 mcdonough blvd se,4046355100,30315,,121.0,100.0,atlanta,GA,us penitentiary hosp,11028F,,false,,
1670 clairmont rd ne,4043216111,30033,,89.0,456.0,decatur,GA,atlanta va medical center,11029F,,false,,
1 freedom way,7067330188,30904,,245.0,1644.0,augusta,GA,augusta va medical center,11030F,,false,,
1826 veterans blvd,4782721210,31021,,175.0,471.0,dublin,GA,carl vinson va medical center,11031F,,false,,
9200 marne rd,7065443534,31905,,215.0,930.0,fort benning,GA,us army hosp,11032F,,false,,
33513 kilbourne st,7067877300,30905,,245.0,300.0,augusta,GA,us army hosp,11033F,,false,,
fort mcpherson,4044640418,30330,,121.0,80.0,fort mcpherson,GA,us army hosp,11034F,,false,,
1061 harmon avenue,9124356965,31314,,179.0,40.0,fort stewart,GA,us army hosp,11035F,,false,,
"3278 mitchell blvd, bld 900",2292572778,31601,,185.0,38.0,valdosta,GA,us air force hosp,11038F,,false,,
655 seventh street,4783277850,31098,,153.0,60.0,robins afb,GA,us air force hosp,11039F,,false,,
145 peacock street,4789346211,31014,,23.0,25.0,cochran,GA,bleckley memorial hospital,111302,Critical Access Hospitals,true,,
898 college street,7064686411,31064,,159.0,17.0,monticello,GA,jasper memorial hospital,111303,Critical Access Hospitals,true,,
1740 lions club road,7063421667,30650,,211.0,25.0,madison,GA,morgan medical center,111304,Critical Access Hospitals,true,,
209 n cuthbert street,2297584231,39837,,201.0,25.0,colquitt,GA,miller county hospital,111305,Critical Access Hospitals,true,,
459 ga highway 119 south,9127540160,31329,,103.0,25.0,springfield,GA,effingham health system,111306,Critical Access Hospitals,true,,
1050 valdosta highway,9124875211,31634,,65.0,25.0,homerville,GA,clinch memorial hospital,111308,Critical Access Hospitals,true,,
1960 highway 247 connector,4786542000,31008,,225.0,25.0,byron,GA,atrium health navicent peach,111310,Critical Access Hospitals,true,,
931 east winthrope avenue,4789824221,30442,,165.0,25.0,millen,GA,jenkins county medical center,111311,Critical Access Hospitals,true,,
215 mims road,9125647426,30467,,251.0,25.0,sylvania,GA,optim medical center - screven,111312,Critical Access Hospitals,true,,
101 lake oconee parkway,7064852711,31024,,237.0,25.0,eatonton,GA,putnam general hospital,111313,Critical Access Hospitals,true,,
11740 columbia street,2297234241,39823,,99.0,25.0,blakely,GA,lifebrite community hospital of early,111314,Critical Access Hospitals,true,,
5995 spring street,7066559351,31830,,199.0,25.0,warm springs,GA,warm springs medical center,111316,Critical Access Hospitals,true,,
88 martin luther king jr drive,4789942521,31029,,207.0,25.0,forsyth,GA,monroe county hospital,111318,Critical Access Hospitals,true,,
1050 mcdonough road,7707757861,30233,,35.0,25.0,jackson,GA,wellstar sylvan grove hospital,111319,Critical Access Hospitals,true,,
200 allen memorial drive,7708122000,30110,,143.0,25.0,bremen,GA,higgins general hospital,111320,Critical Access Hospitals,true,,
247 s main street,9125571000,30453,,267.0,25.0,reidsville,GA,optim medical center - tattnall,111323,Critical Access Hospitals,true,,
110 s main street,7068962222,30546,,281.0,25.0,hiawassee,GA,chatuge regional hospital,111324,Critical Access Hospitals,true,,
120 gordon street,7066789212,30673,,317.0,25.0,washington,GA,wills memorial hospital,111325,Critical Access Hospitals,true,,
116 west thigpen avenue,2294828402,31635,,173.0,25.0,lakeland,GA,sgmc lanier campus,111326,Critical Access Hospitals,true,,
302 south wayne street,9126328961,31510,,5.0,25.0,alma,GA,bacon county hospital,111327,Critical Access Hospitals,true,,
807 south isabella street,2297773851,31791,,321.0,25.0,sylvester,GA,phoebe worth medical center,111328,Critical Access Hospitals,true,,
5401 lake oconee parkway,7064537331,30642,,133.0,25.0,greensboro,GA,st mary's good samaritan hospital,111329,Critical Access Hospitals,true,,
2360 rockmart highway,7707482500,30125,,233.0,25.0,cedartown,GA,atrium health floyd polk medical center,111330,Critical Access Hospitals,true,,
90 stephens street,2293365284,31730,,205.0,25.0,camilla,GA,mitchell county hospital,111331,Critical Access Hospitals,true,,
903 n court street,9122634171,31643,,27.0,25.0,quitman,GA,brooks county hospital,111332,Critical Access Hospitals,true,,
163 south tallahassee street,9123757781,31539,,161.0,25.0,hazlehurst,GA,jeff davis hospital,111333,Critical Access Hospitals,true,,
400 cedar street,9126855741,30439,,43.0,25.0,metter,GA,candler county hospital,111334,Critical Access Hospitals,true,,
462 e g miles parkway,9123699438,31310,,179.0,25.0,hinesville,GA,liberty regional medical center,111335,Critical Access Hospitals,true,,
162 legacy point,7067823100,30525,,241.0,25.0,clayton,GA,mountain lakes medical center,111336,Critical Access Hospitals,true,,
4 medical drive,7062132535,30635,,105.0,25.0,elberton,GA,elbert memorial hospital,111337,Critical Access Hospitals,true,,
"6135 roosevelt highway, p o box 280",7066555515,31830,NOT FOR PROFIT,199.0,32.0,warm springs,GA,roosevelt warm springs ltac hospital,112000,Long Term,true,,
2020 peachtree rd nw,4043507311,30309,PROPRIETARY,121.0,152.0,atlanta,GA,shepherd center,112003,Long Term,true,,
"705 juniper street, ne",4048732871,30308,VOL. NON PROFIT - RELIGIOUS AFF,121.0,72.0,atlanta,GA,"select specialty hospital - midtown atlanta, llc",112004,Long Term,true,,
450 north candler street,4043770221,30030,PROPRIETARY,89.0,76.0,decatur,GA,emory long term acute care,112006,Long Term,true,,
2540 windy hill road,7706441081,30067,PROPRIETARY,67.0,115.0,marietta,GA,wellstar windy hill hospital,112007,Long Term,true,,
5353 reynolds street 4 south,9128197986,31405,PROPRIETARY,51.0,40.0,savannah,GA,"select specialty hospital - savannah, inc",112011,Long Term,true,,
616 19th streeet,7064944075,31901,VOL. NON PROFIT - RELIGIOUS AFF,215.0,30.0,columbus,GA,"columbus specialty hospital, inc",112012,Long Term,true,,
1537 walton way,7067311200,30904,VOL. NON PROFIT - RELIGIOUS AFF,245.0,30.0,augusta,GA,"select specialty hospital - augusta, inc",112013,Long Term,true,,
535 coliseum drive,4788037300,31217,VOL. NON PROFIT - RELIGIOUS AFF,21.0,34.0,macon,GA,"regency hospital company of macon, llc",112016,Long Term,true,,
775 sunset drive,7064251518,30606,VOL. NON PROFIT - RELIGIOUS AFF,59.0,42.0,athens,GA,"landmark hospital of athens, llc",112017,Long Term,true,,
800 e 68th street,5733318420,31405,VOL. NON PROFIT - RELIGIOUS AFF,51.0,50.0,savannah,GA,landmark hospital of savannah,112018,Long Term,true,,
"6135 roosevelt highway, p o box 280",7066555515,31830,NOT FOR PROFIT,199.0,52.0,warm springs,GA,roosevelt warm springs rehabilitation hospital,113028,Rehabilitation,true,,
3351 northside drive,4784716500,31210,PROPRIETARY,21.0,58.0,macon,GA,atrium health navicent rehabilitation hospital,113029,Rehabilitation,true,,
1355 independence drive,7067247746,30901,VOL. NON PROFIT - RELIGIOUS AFF,245.0,58.0,augusta,GA,"walton rehab hospital, affiliate of encompass hlth",113030,Rehabilitation,true,,
1441 clifton road ne,4047125512,30322,VOL. NON PROFIT - RELIGIOUS AFF,89.0,56.0,atlanta,GA,emory rehabilitation hospital,113031,Rehabilitation,true,,
2101 east newnan crossing blvd,6785526200,30265,VOL. NON PROFIT - RELIGIOUS AFF,77.0,50.0,newnan,GA,rehabilitation hospital of newnan,113032,Rehabilitation,true,,
6510 seawright drive,9122356000,31404,VOL. NON PROFIT - RELIGIOUS AFF,51.0,50.0,savannah,GA,encompass health rehab hospital of savannah,113033,Rehabilitation,true,,
1165 sanders road,4705334200,30041,VOL. NON PROFIT - RELIGIOUS AFF,117.0,50.0,cumming,GA,encompass health rehabilitation hospital cumming,113034,Rehabilitation,true,,
2200 patrick henry parkway,4707132000,30253,VOL. NON PROFIT - RELIGIOUS AFF,151.0,50.0,mcdonough,GA,rehabilitation hospital of henry,113035,Rehabilitation,true,,
"1405 clifton road, ne",4047856101,30322,PROPRIETARY,89.0,295.0,atlanta,GA,children's healthcare of atlanta at egleston,113300,Childrens Hospitals,true,,
1001 johnson ferry road,4047855252,30342,RELIGIOUS AFFILIATION,121.0,234.0,atlanta,GA,children's healthcare of atlanta at scottish rite,113301,Childrens Hospitals,true,,
250 scenic highway,6784425800,30046,VOL. NON PROFIT - RELIGIOUS AFF,135.0,96.0,lawrenceville,GA,summitridge center- psychiatry & addictive med,114004,Psychiatric,true,,
1150 cornell ave,9123543911,31406,VOL. NON PROFIT - RELIGIOUS AFF,51.0,7.0,savannah,GA,coastal harbor treatment center,114008,Psychiatric,true,,
2151 peachford road,7704553200,30338,VOL. NON PROFIT - RELIGIOUS AFF,89.0,246.0,atlanta,GA,peachford behavioral health system of atlanta,114010,Psychiatric,true,,
"3995 s cobb drive, se",7704344567,30080,VOL. NON PROFIT - RELIGIOUS AFF,67.0,148.0,smyrna,GA,ridgeview institute,114012,Psychiatric,true,,
3000 schatulga rd box 12435,7065685203,31917,NOT FOR PROFIT,215.0,300.0,columbus,GA,west central georgia regional hospital,114013,Psychiatric,true,,
2927 demere road,9126381999,31522,FOR PROFIT,127.0,101.0,saint simons island,GA,st simons-by-the-sea,114016,Psychiatric,true,,
3073 panthersville road,4042432100,30034,NOT FOR PROFIT,89.0,347.0,decatur,GA,georgia regional hospital atlanta,114019,Psychiatric,true,,
1915 eisenhower drive,9123562045,31416,NOT FOR PROFIT,51.0,202.0,savannah,GA,georgia regional hosp savannah,114028,Psychiatric,true,,
3405 mike padgett hwy,7067927006,30906,NOT FOR PROFIT,245.0,355.0,augusta,GA,east central regional hospital,114029,Psychiatric,true,,
5454 yorktowne drive,7709916044,30349,VOL. NON PROFIT - RELIGIOUS AFF,63.0,122.0,college park,GA,so crescent beh hlth sys - anchor hospital campus,114032,Psychiatric,true,,
223 medical center drive,7709918500,30274,VOL. NON PROFIT - RELIGIOUS AFF,63.0,45.0,riverdale,GA,riverwoods behavioral health system,114035,Psychiatric,true,,
2209 pineview drive,2296716601,31602,VOL. NON PROFIT - RELIGIOUS AFF,185.0,103.0,valdosta,GA,greenleaf center,114036,Psychiatric,true,,
709 breedlove drive,6786358730,30655,VOL. NON PROFIT - RELIGIOUS AFF,297.0,70.0,monroe,GA,ridgeview institute monroe,114037,Psychiatric,true,,
"1364 clifton road, ne",4046868500,30322,,89.0,0.0,atlanta,GA,emory university hospital,119800,Transplant Hospitals,true,,
1120 fifteenth st,7067214716,30912,,245.0,0.0,augusta,GA,medical college of georgia- transplant,119801,Transplant Hospitals,true,,
"1405 clifton road ne , 6th floor, transplant servi",4047856121,30322,,89.0,0.0,atlanta,GA,children's healthcare of atlanta,119802,Transplant Hospitals,true,,
1968 peachtree road nw,4046053775,30309,,121.0,0.0,atlanta,GA,piedmont hospital,119803,Transplant Hospitals,true,,
1301 punchbowl st,8085389011,96813,PROPRIETARY,3.0,585.0,honolulu,HI,the queens medical center,120001,Short Term,true,,
221 mahalani street,8082449056,96793,NOT FOR PROFIT,9.0,213.0,wailuku,HI,maui memorial medical center,120002,Short Term,true,,
128 lehua street,8086218411,96786,PROPRIETARY,3.0,53.0,wahiawa,HI,wahiawa general hospital,120004,Short Term,true,,
1190 waianuenue avenue,8089323000,96720,NOT FOR PROFIT,1.0,142.0,hilo,HI,hilo medical center,120005,Short Term,true,,
640 ulukahiki st,8082635142,96734,PRIVATE NON PROFIT,3.0,160.0,kailua,HI,adventist health castle,120006,Short Term,true,,
347 north kuakini street,8085362236,96817,PROPRIETARY,3.0,212.0,honolulu,HI,kuakini medical center,120007,Short Term,true,,
3288 moanalua rd,8084320000,96819,PROPRIETARY,3.0,250.0,honolulu,HI,kaiser foundation hospital,120011,Short Term,true,,
3-3420 kuhio highway,8082451103,96766,FOR PROFIT,7.0,71.0,lihue,HI,wilcox memorial hospital,120014,Short Term,true,,
79-1019 haukapila street,8083229311,96750,NOT FOR PROFIT,1.0,60.0,kealakekua,HI,kona community hospital,120019,Short Term,true,,
apo,,96438,,,1000.0,tamc,HI,us army tripler gen hosp,12001F,,false,,
888 so king street,8085224000,96813,VOL. NON PROFIT - RELIGIOUS AFF,3.0,159.0,honolulu,HI,straub clinic and hospital,120022,Short Term,true,,
98-1079 moanalua road,8084866000,96701,VOL. NON PROFIT - RELIGIOUS AFF,3.0,116.0,aiea,HI,pali momi medical center,120026,Short Term,true,,
67 1125 mamalahoa highway,8088854444,96743,PROPRIETARY,1.0,33.0,kamuela,HI,"north hawaii community hospital, inc",120028,Short Term,true,,
,,96782,,3.0,48.0,pearl city,HI,waimano training school & hosp,12002E,,false,,
,,96782,,3.0,152.0,pearl city,HI,hale mohalu hosp,12003E,,false,,
,,96742,,9.0,39.0,molokai,HI,kalaupapa settlement hosp,12005E,,false,,
459 patterson road,8084330464,96819,,3.0,229.0,honolulu,HI,va pacific islands hcs,12006F,,false,,
4643 waimea canyon drive,8083389431,96796,NOT FOR PROFIT,7.0,25.0,waimea,HI,kauai veterans memorial hospital,121300,Critical Access Hospitals,true,,
1 kamani street,8089288331,96777,NOT FOR PROFIT,1.0,21.0,pahala,HI,kau hospital,121301,Critical Access Hospitals,true,,
54-383 hospital road,8088896211,96755,NOT FOR PROFIT,1.0,25.0,kapaau,HI,kohala hospital,121302,Critical Access Hospitals,true,,
280 home olu place,8085533123,96748,PROPRIETARY,9.0,13.0,kaunakakai,HI,molokai general hospital,121303,Critical Access Hospitals,true,,
56-117 pualalea street,8082939221,96731,RELIGIOUS AFFILIATION,3.0,11.0,kahuku,HI,kahuku medical center,121304,Critical Access Hospitals,true,,
628 7th street,8085658450,96763,PROPRIETARY,9.0,4.0,lanai city,HI,lanai community hospital,121305,Critical Access Hospitals,true,,
4800 kawaihau road,8088224961,96746,NOT FOR PROFIT,7.0,14.0,kapaa,HI,samuel mahelona memorial hospital,121306,Critical Access Hospitals,true,,
45-547 plumeria street,8089324100,96727,NOT FOR PROFIT,1.0,11.0,honokaa,HI,hale ho'ola hamakua,121307,Critical Access Hospitals,true,,
100 keokea place,8088781221,96790,PROPRIETARY,9.0,9.0,kula,HI,kula hospital,121308,Critical Access Hospitals,true,,
3675 kilauea avenue,8087338000,96816,NOT FOR PROFIT,3.0,9.0,honolulu,HI,leahi hospital,122001,Long Term,true,,
226 n kuakini street,8085313511,96817,PROPRIETARY,3.0,100.0,honolulu,HI,rehabilitation hospital of the pacific,123025,Rehabilitation,true,,
1319 punahou street,8089836000,96826,PROPRIETARY,3.0,243.0,honolulu,HI,kapiolani medical center for women & children,123300,Childrens Hospitals,true,,
1310 punahou street,8089414466,96826,PROPRIETARY,3.0,24.0,honolulu,HI,shriners hospital for children,123301,Childrens Hospitals,true,,
91-2301 fort weaver road,8086718511,96706,PROPRIETARY,3.0,88.0,ewa beach,HI,kahi mohala,124001,Psychiatric,true,,
1301 punchbowl street,8086917066,96813,,3.0,0.0,hon,HI,the queen's medical center,129801,Transplant Hospitals,true,,
801 pole line road west,2088141000,83301,PROPRIETARY,83.0,226.0,twin falls,ID,st luke's magic valley rmc,130002,Short Term,true,,
415 sixth street,2087995300,83501,PROPRIETARY,69.0,145.0,lewiston,ID,st joseph regional medical center,130003,Short Term,true,,
190 east bannock street,2083812222,83712,PROPRIETARY,1.0,544.0,boise,ID,st luke's regional medical center,130006,Short Term,true,,
1055 north curtis road,2083672121,83706,PRIVATE NON PROFIT,1.0,365.0,boise,ID,saint alphonsus regional medical center,130007,Short Term,true,,
4300 e flamingo ave,2082050050,83687,PRIVATE NON PROFIT,27.0,152.0,nampa,ID,saint alphonsus medical center - nampa,130013,Short Term,true,,
1717 arlington street,2084594641,83605,VOL. NON PROFIT - RELIGIOUS AFF,27.0,150.0,caldwell,ID,west valley medical center,130014,Short Term,true,,
3100 channing way,2085296210,83404,VOL. NON PROFIT - RELIGIOUS AFF,19.0,330.0,idaho falls,ID,eastern idaho regional medical center,130018,Short Term,true,,
450 east main street,2083596900,83440,CORPORATION,65.0,81.0,rexburg,ID,madison memorial hospital,130025,Short Term,true,,
777 hospital way,2082391000,83201,VOL. NON PROFIT - RELIGIOUS AFF,5.0,187.0,pocatello,ID,portneuf medical center,130028,Short Term,true,,
mountain home afb,,83648,,39.0,35.0,mountain home,ID,us air force hosp,13002F,,false,,
500 w fort st,2084221000,83702,,1.0,188.0,boise,ID,boise va medical center,13003F,,false,,
2003 kootenai health way,2086254000,83814,STATE,55.0,321.0,coeur d'alene,ID,kootenai health,130049,Short Term,true,,
8800 west emerald street,2083735000,83704,VOL. NON PROFIT - RELIGIOUS AFF,1.0,20.0,boise,ID,treasure valley hospital,130063,Short Term,true,,
1485 parkway drive,2085572700,83221,LOCAL GOVERNMENT,11.0,43.0,blackfoot,ID,mountain view hospital,130065,Short Term,true,,
1593 east polston avenue,2082622300,83854,VOL. NON PROFIT - RELIGIOUS AFF,55.0,34.0,post falls,ID,northwest specialty hospital,130066,Short Term,true,,
9850 west st lukes drive,2085052000,83687,PROPRIETARY,1.0,87.0,nampa,ID,st luke's nampa medical center,130071,Short Term,true,,
350 north meridian street,2087822900,83221,PROPRIETARY,11.0,8.0,blackfoot,ID,grove creek medical center,130073,Short Term,true,,
2327 coronado st,2085281000,83404,VOL. NON PROFIT - RELIGIOUS AFF,19.0,88.0,idaho falls,ID,"idaho falls community hospital, llc",130074,Short Term,true,,
115 falls ave w,2087331662,83301,VOL. NON PROFIT - RELIGIOUS AFF,83.0,4.0,twin falls,ID,sawtooth surgery center,130075,Short Term,true,,
6640 kaniksu street,2082673140,83805,RELIGIOUS AFFILIATION,21.0,14.0,bonners ferry,ID,boundary community hospital,131301,Critical Access Hospitals,true,,
267 north canyon dr,2089344433,83330,PROPRIETARY,47.0,18.0,gooding,ID,north canyon medical center,131302,Critical Access Hospitals,true,,
150 north 200 west,2087662231,83252,CORPORATION,71.0,11.0,malad,ID,nell j redfield memorial hospital,131303,Critical Access Hospitals,true,,
510 roosevelt street,2082263200,83211,STATE,77.0,10.0,american falls,ID,power county hospital district,131304,Critical Access Hospitals,true,,
203 south daisy street po box 700,2087565600,83467,CORPORATION,59.0,18.0,salmon,ID,steele memorial medical center,131305,Critical Access Hospitals,true,,
645 east 5th street,2085490370,83672,STATE,87.0,25.0,weiser,ID,weiser memorial hospital,131307,Critical Access Hospitals,true,,
402 lake cascade parkway,2083824242,83611,STATE,85.0,10.0,cascade,ID,cascade medical center,131308,Critical Access Hospitals,true,,
300 south 3rd west,2085473341,83276,CORPORATION,29.0,25.0,soda springs,ID,caribou medical center,131309,Critical Access Hospitals,true,,
709 north lincoln avenue,2088149500,83338,PROPRIETARY,53.0,25.0,jerome,ID,st luke's jerome,131310,Critical Access Hospitals,true,,
895 north 6th east,2085878401,83647,PROPRIETARY,39.0,25.0,mountain home,ID,st luke's elmore medical center,131311,Critical Access Hospitals,true,,
1000 state street,2086302395,83638,VOL. NON PROFIT - RELIGIOUS AFF,85.0,15.0,mccall,ID,st luke's mccall,131312,Critical Access Hospitals,true,,
120 east howard ave,2083542383,83422,PROPRIETARY,81.0,13.0,driggs,ID,teton valley hospital,131313,Critical Access Hospitals,true,,
25 jacobs gulch road,2087841221,83837,STATE,79.0,25.0,kellogg,ID,shoshone medical center,131314,Critical Access Hospitals,true,,
607 w main street,2089831700,83530,STATE,49.0,16.0,grangeville,ID,syringa general hospital,131315,Critical Access Hospitals,true,,
164 south fifth street,2088471630,83254,CORPORATION,7.0,21.0,montpelier,ID,bear lake memorial hospital,131316,Critical Access Hospitals,true,,
229 south 7th street,2082455551,83861,CORPORATION,9.0,19.0,st maries,ID,benewah community hospital,131317,Critical Access Hospitals,true,,
1202 east locust street,2083653561,83617,CORPORATION,45.0,16.0,emmett,ID,valor health,131318,Critical Access Hospitals,true,,
1224 8th street,2084360481,83350,CORPORATION,67.0,25.0,rupert,ID,minidoka memorial hospital,131319,Critical Access Hospitals,true,,
301 cedar street,2084764555,83544,PROPRIETARY,35.0,23.0,orofino,ID,clearwater valley hospital & clinics,131320,Critical Access Hospitals,true,,
701 lewiston st,2089623251,83522,PROPRIETARY,49.0,25.0,cottonwood,ID,st mary's hospital,131321,Critical Access Hospitals,true,,
44 north first east,2088520137,83263,RELIGIOUS AFFILIATION,41.0,20.0,preston,ID,franklin county medical center,131322,Critical Access Hospitals,true,,
100 hospital drive,2087278800,83340,PROPRIETARY,13.0,25.0,ketchum,ID,st luke's wood river medical center,131323,Critical Access Hospitals,true,,
551 highland drive,2082527654,83213,STATE,23.0,14.0,arco,ID,lost rivers medical center,131324,Critical Access Hospitals,true,,
98 poplar street,2087854100,83221,PROPRIETARY,11.0,25.0,blackfoot,ID,bingham memorial hospital,131325,Critical Access Hospitals,true,,
1501 hiland avenue,2086784444,83318,PROPRIETARY,31.0,25.0,burley,ID,cassia regional hospital,131326,Critical Access Hospitals,true,,
700 south main street,2088824511,83843,PROPRIETARY,57.0,25.0,moscow,ID,gritman medical center,131327,Critical Access Hospitals,true,,
520 north third avenue,2082631441,83864,PROPRIETARY,17.0,48.0,sandpoint,ID,bonner general hospital,131328,Critical Access Hospitals,true,,
600 north cecil road,2082622800,83854,VOL. NON PROFIT - RELIGIOUS AFF,55.0,40.0,post falls,ID,northern idaho advanced care hospital,132001,Long Term,true,,
6651 w franklin road,2084899500,83709,PROPRIETARY,1.0,60.0,boise,ID,vibra hospital of boise,132002,Long Term,true,,
3372 e jenalan ave,2082628700,83854,VOL. NON PROFIT - RELIGIOUS AFF,55.0,30.0,post falls,ID,rehabilitation hospital of the northwest,133027,Rehabilitation,true,,
711 north curtis road,2086053000,83706,VOL. NON PROFIT - RELIGIOUS AFF,1.0,40.0,boise,ID,saint alphonsus regional rehabilitation hospital,133028,Rehabilitation,true,,
303 north allumbaugh street,2083778400,83704,VOL. NON PROFIT - RELIGIOUS AFF,1.0,155.0,boise,ID,intermountain hospital,134002,Psychiatric,true,,
8050 west northview street,2083270504,83704,PROPRIETARY,1.0,22.0,boise,ID,lifeways hospital,134009,Psychiatric,true,,
700 east alice street,2087851200,83221,NOT FOR PROFIT,11.0,120.0,blackfoot,ID,state hospital south,134010,Psychiatric,true,,
2131 s bonito way,2089968449,83642,VOL. NON PROFIT - RELIGIOUS AFF,1.0,92.0,meridian,ID,cottonwood creek behavioral hospital,134017,Psychiatric,true,,
210 west walnut street,3096475240,61520,PROPRIETARY,57.0,144.0,canton,IL,graham hospital association,140001,Short Term,true,,
one memorial drive,6184637311,62002,PROPRIETARY,119.0,222.0,alton,IL,alton memorial hospital,140002,Short Term,true,,
333 n madison st,8157257133,60435,PRIVATE NON PROFIT,197.0,443.0,joliet,IL,presence saint joseph medical center,140007,Short Term,true,,
701 west north ave,7086813200,60160,PROPRIETARY,31.0,274.0,melrose park,IL,loyola gottlieb memorial hospital,140008,Short Term,true,,
2650 ridge ave,8474328000,60201,RELIGIOUS AFFILIATION,31.0,466.0,evanston,IL,northshore university healthsystem evanston hosp,140010,Short Term,true,,
201 s 14th st,6189422171,62948,PROPRIETARY,199.0,104.0,herrin,IL,herrin hospital,140011,Short Term,true,,
403 e 1st st,8152885531,61021,PROPRIETARY,103.0,80.0,dixon,IL,katherine shaw bethea hospital,140012,Short Term,true,,
5409 n knoxville ave,3096911000,61614,PROPRIETARY,143.0,305.0,peoria,IL,proctor hospital,140013,Short Term,true,,
1005 broadway st,2172231200,62301,PROPRIETARY,1.0,312.0,quincy,IL,blessing hospital,140015,Short Term,true,,
1500 s fairfield ave,7735422000,60608,PROPRIETARY,31.0,431.0,chicago,IL,mt sinai hospital medical center,140018,Short Term,true,,
200 s cedar st,2177743961,62565,PROPRIETARY,173.0,30.0,shelbyville,IL,hshs good shepherd hospital inc,140019,Short Term,true,,
400 w hay st,6315551212,62526,,115.0,75.0,decatur,IL,decatur-macon co tb sanatorium,14001E,,false,,
2000 ogden avenue,6309786200,60504,PROPRIETARY,89.0,210.0,aurora,IL,rush copley medical center,140029,Short Term,true,,
333 east huron street,3125698387,60611,,31.0,505.0,chicago,IL,va chicago health care system-lakeside division,14002F,,false,,
1425 north randall road,8477429800,60123,PROPRIETARY,89.0,255.0,elgin,IL,advocate sherman hospital,140030,Short Term,true,,
503 n maple street,2173422121,62401,PRIVATE NON PROFIT,49.0,146.0,effingham,IL,st anthonys memorial hospital,140032,Short Term,true,,
400 north pleasant avenue,6184368000,62801,PRIVATE NON PROFIT,121.0,125.0,centralia,IL,ssm health st mary's hospital -centralia,140034,Short Term,true,,
820 south damen avenue,3125698387,60612,,31.0,505.0,chicago,IL,va chicago health care system-west side division,14003F,,false,,
100 east lefevre road,8156250400,61081,CORPORATION,195.0,98.0,sterling,IL,cgh medical center,140043,Short Term,true,,
1 good samaritan way,6188991469,62864,PROPRIETARY,81.0,175.0,mount vernon,IL,good samaritan regional hlth center,140046,Short Term,true,,
2320 e 93rd st,7739675002,60617,RELIGIOUS AFFILIATION,31.0,263.0,chicago,IL,advocate trinity hospital,140048,Short Term,true,,
3 erie court,7083836200,60302,RELIGIOUS AFFILIATION,31.0,287.0,oak park,IL,west suburban medical center,140049,Short Term,true,,
1900 e main st,2175543000,61832,,183.0,1573.0,danville,IL,va illiana health care system,14004F,,false,,
st anthony's way,6184652571,62002,PRIVATE NON PROFIT,119.0,296.0,alton,IL,osf saint anthony's health center,140052,Short Term,true,,
